,EIN,X__1,NAME.x,NAME.y,ICO,STREET,CITY,STATE,ZIP,tax_prd,subseccd,s501c3or4947a1cd,sepcnsldtfinstmtcd,sepindaudfinstmtcd,invstproceedscd,recvnoncashcd,noemplyeesw3cnt,unrelbusinccd,solicitcntrbcd,totcomprelatede,totcntrbgfts,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,netgnls,netincfndrsng,netincgaming,netincsales,miscrevtot11e,totrevenue,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,profndraising,totfuncexpns,nonintcashend,svngstempinvend,pldgegrntrcvblend,accntsrcvblend,notesloansrcvblend,invntriesalesend,prepaidexpnsend,lndbldgsequipend,invstmntsend,invstmntsothrend,invstmntsprgmend,intangibleassetsend,othrassetsend,totassetsend,accntspayableend,grntspayableend,deferedrevnuend,txexmptbndsend,escrwaccntliabend,secrdmrtgsend,othrliabend,totliabend,unrstrctnetasstsend,temprstrctnetasstsend,permrstrctnetasstsend,totnetassetend,totnetliabastend,gftgrntsrcvd170,totgftgrntrcvd509
117,208422447,40,BETH MORRISON PROJECTS,BETH MORRISON PROJECTS,% BETH MORRISON,D1,BROOKLYN,NY,11226-0000,201306,3,N,N,Y,N,N,3,N,N,0,331200,437231,182,0,0,0,0,0,0,0,768613,0,0,0,0,48000,0,44469,0,5634,0,688581,125907,203869,0,5970,0,0,7776,13744,0,0,0,0,0,363781,5070,0,0,0,0,0,0,5070,208903,149808,0,358711,363781,0,793269
118,208523525,470,ST. PETERSBURG OPERA COMPANY,ST PETERSBURG OPERA COMPANY,NA,PO BOX 238,ST PETERSBURG,FL,33731-0238,201307,3,N,N,N,N,N,5,N,N,0,598713,354766,59,0,0,0,0,0,0,0,953538,0,0,0,0,47500,0,44434,0,8151,0,702854,56613,54142,0,5000,0,0,17846,833293,0,0,0,0,0,966894,-896,0,12650,0,0,0,637170,648924,317970,0,0,317970,966894,1380222,0
119,208572361,358,OPERA LOUISIANE INC,OPERA LOUISIANE INC,NA,PO BOX 4908,BATON ROUGE,LA,70821-4908,201306,3,N,N,N,N,N,4,N,N,0,162497,38804,0,0,0,0,0,0,0,0,201301,0,0,0,0,33887,0,16965,0,0,0,235968,25376,1240,0,0,0,0,0,0,0,0,0,0,0,26616,0,0,0,0,0,0,1435,1535,0,0,0,25081,26616,664417,0
121,222188736,181,HUBBARD HALL PROJECTS INC,HUBBARD HALL PROJECTS INC,NA,25 E MAIN ST,CAMBRIDGE,NY,12816-1219,201406,3,Y,N,N,N,N,25,Y,N,0,214859,217031,184,0,0,0,20344,0,0,8055,475571,0,0,0,0,40000,0,99806,0,1450,0,433015,71906,0,0,1942,0,0,9302,929766,0,0,0,1030,24350,1038296,16183,0,22879,0,0,127360,7642,226103,743074,69119,0,812193,1038296,1039643,0
124,222519789,368,OPERA NORTH,OPERA NORTH,NA,20 W PARK ST,LEBANON,NH,03766-1378,201309,3,Y,N,Y,N,Y,25,N,N,0,322937,382916,505,0,0,-527,0,0,2593,0,708424,0,0,0,0,86301,0,78773,0,7400,0,700999,11376,8744,26000,930,0,0,0,3078,0,0,0,1375,1021,52524,75695,0,0,0,0,59905,0,135600,-103076,18000,2000,-83076,52524,1517929,0
131,226062769,142,GARDEN STATE PHILHARMONIC SYMPHONY SOCIETY,GARDEN STATE PHILHARMONIC SYMPHONY SOCIETY,% OCEAN COUNTY COLLEGE,PO BOX 2001,TOMS RIVER,NJ,08754-2001,201306,3,N,Y,Y,N,N,13,N,N,0,152865,123290,49,0,0,0,12131,0,354,138,288827,0,0,0,0,0,0,104609,0,3654,0,295946,8955,34702,4424,14120,0,0,437,0,190,0,0,0,13666,76494,34709,0,31202,0,0,0,28495,94406,-52614,0,34702,-17912,76494,763868,0
132,231352001,3,ACADEMY OF VOCAL ARTS,ACADEMY OF VOCAL ARTS,NA,1920 SPRUCE ST,PHILADELPHIA,PA,19103-6613,201306,3,Y,Y,Y,N,Y,32,Y,N,0,4411471,304517,1179890,0,0,99296,-40837,0,0,0,5961308,0,194035,0,0,152911,0,1221038,38328,130675,0,3362056,222274,0,2331254,8137,0,0,85348,5742940,17003980,6972677,0,0,0,32366610,35174,0,69793,0,0,1860000,62436,2027403,10548257,3563119,16227831,30339207,32366610,0,0
133,231504706,377,OPERA PHILADELPHIA,OPERA PHILADELPHIA,NA,1420 LOCUST ST STE 210,PHILADELPHIA,PA,19102-4204,201405,3,Y,Y,Y,N,Y,306,N,N,0,7424834,2243808,6568,0,0,-6485,-71067,0,0,16063,9613721,0,0,0,0,446441,0,3113579,79711,359835,0,10543984,10716,2664675,5853600,0,0,0,1428236,450648,170849,0,0,0,288109,10866833,594772,0,1296210,0,0,132388,0,2023370,2506823,6261658,74982,8843463,10866833,0,38617959
134,231631733,139,FULTON OPERA HOUSE FOUNDATION,FULTON THEATRE COMPANY,NA,PO BOX 1865,LANCASTER,PA,17608-1865,201306,3,Y,Y,Y,N,N,209,Y,N,0,1722361,2888517,21404,0,0,-7996,14991,0,18517,4777,4662604,0,0,0,0,281988,0,1776329,0,233210,0,4516974,29959,211098,156489,17513,0,0,118316,5666612,1517116,0,0,0,0,7717103,192842,0,1005182,0,0,350154,0,1548178,4656147,447634,1065144,6168925,7717103,0,7182924
146,237011544,551,WOLF TRAP FOUNDATION FOR THE PERFORMING ARTS,WOLF TRAP FOUNDATION FOR THE PERFORMING ARTS,NA,1645 TRAP RD,VIENNA,VA,22182-2064,201312,3,Y,Y,Y,N,Y,659,Y,N,0,8854314,18024027,359689,0,0,1194010,-157294,0,293108,755202,29497806,15000,20381,0,0,1062372,0,7549912,327262,1054202,100727,27590595,7846919,1007121,1263881,99954,0,89558,74685,11345772,20385538,0,0,0,0,42113428,1199201,0,1544969,0,0,0,719566,3463736,26736970,10711446,1201276,38649692,42113428,0,39696057
148,237025084,466,SPRINGER OPERA HOUSE ARTS ASSOCIATION INC,SPRINGER OPERA HOUSE ARTS ASSOCIATION INC,NA,103 10TH ST,COLUMBUS,GA,31901-2741,201406,3,Y,Y,Y,N,Y,133,N,N,0,357186,1610391,24419,0,0,513727,0,0,0,0,2379133,0,3700,0,0,179176,0,844689,0,0,0,2817491,0,347273,0,2661633,0,3708,113363,14356220,3085804,1231005,0,0,207802,22006808,354987,0,280901,0,0,0,0,635888,17009515,3001322,1360083,21370920,22006808,0,6407139
149,237083993,121,FAIRBANKS LIGHT OPERA THEATRE,FAIRBANKS LIGHT OPERA THEATRE,NA,PO BOX 72787,FAIRBANKS,AK,99707-2787,201312,3,Y,N,N,N,N,0,Y,N,0,35498,156370,0,0,0,0,11416,17209,0,0,220493,0,0,0,0,0,0,0,0,0,0,187148,32956,181,0,0,0,0,750,334,0,0,0,0,0,34221,-21,0,0,0,0,0,0,-21,34242,0,0,34242,34221,122271,0
150,237089047,447,"SARASOTA OPERA ASSOCIATION, INC.",SARASOTA OPERA ASSOCIATION INC,NA,61 N PINEAPPLE AVE,SARASOTA,FL,34236-5716,201305,3,N,Y,N,N,N,142,N,N,0,3197520,3284859,185340,0,0,201919,107195,0,0,507880,7484713,0,7000,0,0,308549,0,3368398,2390,100407,0,8649412,8100,1050549,767334,74036,0,0,54239,14801814,4757225,0,0,0,0,21513297,378717,0,1119131,0,0,191563,0,1689411,15157561,651115,4015210,19823886,21513297,0,15900520
152,237113188,261,MISSISSIPPI OPERA ASSOCIATION INC,MISSISSIPPI OPERA ASSOCIATION INC,NA,PO BOX 1551,JACKSON,MS,39215-1551,201306,3,Y,N,N,N,N,0,N,N,0,217469,28202,0,0,0,0,0,0,0,0,245671,0,0,0,0,18000,0,22678,0,0,0,204777,21124,0,0,0,0,0,0,487,0,0,0,0,46796,68407,20367,0,5700,0,0,0,2409,108669,-40262,0,0,-40262,68407,921445,0
153,237139766,545,WEST VALLEY LIGHT OPERA ASSOCIATION,WEST VALLEY LIGHT OPERA ASSOCIATION,NA,PO BOX 779,LOS GATOS,CA,95031-0779,201405,3,Y,N,N,N,N,0,N,N,0,304959,207660,2365,0,0,0,0,0,0,0,514984,0,0,0,0,2950,0,0,0,0,0,210406,34176,401825,0,0,0,0,0,0,0,0,0,0,0,436001,0,0,0,0,0,0,0,0,0,0,0,436001,436001,0,304959
154,237167068,477,"SYRACUSE OPERA COMPANY, INC.",SYRACUSE OPERA COMPANY INC,NA,PO BOX 1223,SYRACUSE,NY,13201-1223,201306,3,Y,Y,Y,N,N,37,N,N,0,323665,340702,397,0,0,-123,39378,0,0,11338,715357,0,0,0,0,80275,0,231854,0,26622,0,999966,16378,342389,0,121125,0,0,9279,29182,0,0,0,0,0,518353,142454,0,141129,0,0,320329,0,603912,-498955,6150,407246,-85559,518353,2445458,0
155,237169261,23,ARIZONA OPERA COMPANY,ARIZONA OPERA COMPANY,NA,1636 N CENTRAL AVE,PHOENIX,AZ,85004-1623,201206,3,Y,N,Y,N,N,0,N,N,0,3446499,2751285,1872,0,0,0,152022,0,19934,113091,6484703,0,0,0,0,202417,0,1695106,0,223371,24923,5992620,451240,0,681481,0,0,0,136253,409853,1095775,0,0,0,1.00E+06,3774602,553842,0,1624272,0,0,2068432,0,4721546,-3157104,826431,1383729,-946944,3774602,0,11829089
156,237169261,23,ARIZONA OPERA COMPANY,ARIZONA OPERA COMPANY,NA,1636 N CENTRAL AVE,PHOENIX,AZ,85004-1623,201306,3,Y,N,Y,N,N,511,N,N,0,2754256,2463921,618,0,0,0,246164,0,11751,91038,5567748,0,0,0,0,201417,0,1791868,0,190269,69997,5932266,162603,0,394853,0,0,0,113008,2501567,183393,0,0,0,0,3355424,806638,0,1370558,0,0,1989690,150000,4666886,-1944708,449853,183393,-1311462,3355424,0,12407156
157,237170675,50,BRONX OPERA COMPANY INC,BRONX OPERA COMPANY INC,NA,5 MINERVA PLACE,BRONX,NY,10468-1647,201307,3,Y,N,N,N,N,0,N,N,0,216096,31551,146,0,0,0,0,0,0,0,247793,0,0,0,0,11900,0,95582,0,0,0,245993,80767,31621,0,0,0,0,0,0,0,0,0,0,0,112388,0,0,0,0,0,0,0,0,102388,10000,0,112388,112388,1091871,0
160,237207572,316,OPERA BIRMINGHAM,OPERA BIRMINGHAM,NA,3601 6TH AVE S,BIRMINGHAM,AL,35222-2407,201106,3,Y,N,N,N,N,5,N,N,0,625937,161341,13029,0,0,0,4576,0,0,0,804883,0,0,0,0,75938,0,60125,0,5415,0,754981,19254,955,0,0,0,3738,0,473664,0,0,0,0,219477,717088,5033,0,0,0,0,150953,0,155986,0,0,0,561102,717088,0,3154481
161,237207572,316,OPERA BIRMINGHAM,OPERA BIRMINGHAM,NA,3601 6TH AVE S,BIRMINGHAM,AL,35222-2407,201306,3,Y,N,N,N,N,5,N,N,0,366368,186877,16874,0,0,0,50976,0,0,0,621095,0,0,0,0,80000,0,70652,0,7443,0,717880,13352,705,0,0,0,2565,0,407741,0,0,0,0,672629,1096992,13257,0,0,0,0,105642,12865,166764,0,0,0,930228,1096992,0,2266811
162,237207572,316,OPERA BIRMINGHAM,OPERA BIRMINGHAM,NA,3601 6TH AVE S,BIRMINGHAM,AL,35222-2407,201206,3,Y,N,N,N,N,4,N,N,0,355294,127601,3904,0,0,0,52385,0,0,0,539184,0,0,0,0,76149,0,77175,0,6076,0,527834,25393,685,0,0,0,3844,0,454381,0,0,0,0,677085,1161388,9019,0,100,0,0,123084,0,132203,0,0,0,1029185,1161388,0,2479087
163,237224835,449,SCHENECTADY LIGHT OPERA CO INC,SCHENECTADY LIGHT OPERA CO INC,NA,PO BOX 1006,SCHENECTADY,NY,12301-1006,201205,3,Y,N,N,N,N,0,N,N,0,245225,144379,1248,0,0,-2955,-15396,0,0,0,421201,0,0,0,0,0,0,0,0,0,0,225400,17038,607,0,601,0,0,16023,1444318,0,0,82461,0,16431,1577479,124138,0,8959,0,0,432480,0,565577,1011902,0,0,1011902,1577479,813943,0
164,237224835,449,SCHENECTADY LIGHT OPERA CO INC,SCHENECTADY LIGHT OPERA CO INC,NA,PO BOX 1006,SCHENECTADY,NY,12301-1006,201305,3,Y,N,N,N,N,0,N,N,0,194000,118231,1634,0,0,1888,-547,0,0,0,362677,0,0,0,0,0,0,0,0,0,0,236801,8445,2136,0,5593,0,0,11390,1533919,0,0,83575,0,16431,1661489,65401,0,21560,0,0,436750,0,523711,1137778,0,0,1137778,1661489,1168687,0
165,237224835,449,SCHENECTADY LIGHT OPERA CO INC,SCHENECTADY LIGHT OPERA CO INC,NA,PO BOX 1006,SCHENECTADY,NY,12301-1006,201105,3,Y,N,N,N,N,0,N,N,0,85158,126676,1543,0,0,107573,-8985,0,0,0,352125,0,0,0,0,0,0,0,0,0,0,230129,40170,3795,0,4088,0,0,0,1396351,0,0,102462,0,16456,1563322,120693,0,3000,0,0,623528,0,747221,816101,0,0,816101,1563322,437912,0
166,237225165,101,DENVER LYRIC OPERA GUILD,DENVER LYRIC OPERA GUILD,NA,2020 SOUTH ONEIDA STREET,DENVER,CO,80224-2447,201405,3,Y,N,N,N,N,0,N,N,0,51862,34800,32486,0,0,-515,-3226,0,0,2092,117499,31300,31500,0,0,0,0,0,0,0,0,132196,0,76170,0,0,0,0,0,0,1335073,0,0,0,0,1411243,0,0,0,0,0,0,41,41,20000,88219,1302983,1411202,1411243,235603,0
168,237314812,387,OPERA SOUTHWEST,OPERA SOUTHWEST,NA,PO BOX 27671,ALBUQUERQUE,NM,87125-7671,201305,3,Y,N,Y,N,N,1,N,N,0,314124,182153,0,0,0,0,17468,0,0,10232,526337,0,0,0,0,0,0,29445,0,0,0,524995,6711,7594,5709,700,0,0,1873,391224,0,0,0,0,0,413811,0,0,40245,0,0,0,2227,72878,318339,15194,7400,340933,413811,0,1318650
169,237319903,103,DES MOINES METRO OPERA INC,DES MOINES METRO OPERA INC,NA,106 W BOSTON AVE,INDIANOLA,IA,50125-1836,201308,3,Y,Y,Y,N,N,10,N,N,0,1638017,606139,0,0,0,0,56568,0,0,12916,2313640,0,0,0,0,97137,0,336525,12188,25133,0,2226182,135500,0,180187,2952,0,4142,22160,337072,0,0,0,0,0,682013,285936,0,46165,0,0,0,0,332101,273912,76000,0,349912,682013,0,7408571
170,237321514,20,ANNAPOLIS OPERA INCORPORATED,ANNAPOLIS OPERA INCORPORATED,% MICHAEL TEEMS,801 CHASE STREET 304,ANNAPOLIS,MD,21401-3530,201306,3,Y,N,N,N,N,1,N,N,0,207019,114459,80,0,0,0,0,0,0,0,321558,0,0,0,0,23305,0,0,0,0,0,301862,16484,24797,0,0,0,0,0,0,0,0,0,0,0,41281,0,0,0,0,0,0,0,0,41281,0,0,41281,41281,0,842913
171,237321992,302,OLD OPERA HOUSE THEATRE COMPANY INC,OLD OPERA HOUSE THEATRE COMPANY INC,NA,204 N GEORGE ST,CHARLES TOWN,WV,25414-1504,201312,3,Y,N,Y,N,N,2,Y,N,0,70379,204544,3069,0,0,8839,25415,0,0,0,312876,0,0,0,0,51500,0,28920,0,1676,0,342295,100,18847,0,754,0,0,1535,700137,104375,0,0,0,0,825748,22320,0,11759,0,0,240000,0,274079,535717,7515,8437,551669,825748,365431,0
172,237331238,349,"OPERA IDAHO, INC.",OPERA IDAHO INC,NA,513 S 8TH ST,BOISE,ID,83702-7108,201306,3,Y,N,N,N,N,12,N,N,0,473156,113825,0,0,0,0,0,22050,0,0,609031,0,0,0,0,59115,0,96546,0,9822,0,537646,59848,0,0,8836,0,0,10648,2016,0,0,0,0,0,81348,21387,0,19862,0,0,0,60265,113514,-138541,106375,0,-32166,81348,1508647,0
173,237354963,70,CHICAGO OPERA THEATER,CHICAGO OPERA THEATER,NA,70 E LAKE ST STE 415,CHICAGO,IL,60601-7646,201308,3,Y,Y,Y,N,N,72,N,N,0,2122611,703252,116,0,0,0,160660,0,0,0,2986639,0,0,0,0,90000,0,515020,36511,60913,0,2702996,58504,383881,611722,0,0,0,146514,9089,0,0,0,0,0,1209710,199059,0,351431,0,0,121924,0,672414,-38363,575659,0,537296,1209710,0,9793828
174,237368877,52,BROWN GRAND OPERA HOUSE INC,BROWN GRAND OPERA HOUSE INC,% LUANN MILLER,PO BOX 347,CONCORDIA,KS,66901-0347,201312,3,Y,N,N,N,N,1,N,N,0,293817,1751,60,0,0,0,0,0,65,0,295693,0,0,0,0,0,0,21035,0,1024,0,253055,123458,0,0,0,0,1180,0,0,0,0,0,0,8019,132657,0,0,0,0,0,0,0,0,132657,0,0,132657,132657,683929,0
175,237382448,143,GILBERT AND SULLIVAN SOCIETY OF SAN JOSE LYRIC THEATRE,GILBERT AND SULLIVAN SOCIETY OF SAN,NA,PO BOX 6741,SAN JOSE,CA,95150-6741,201306,3,Y,N,N,N,N,0,N,N,0,42625,117429,18,0,0,0,0,0,0,533,160601,0,500,0,0,0,0,39815,0,13381,0,203081,26503,0,0,0,0,0,0,0,1117,0,0,0,4000,31620,0,0,0,0,0,0,0,0,0,0,0,31620,31620,361728,0
176,237386026,548,WILDWOOD PARK FOR THE ARTS INC,WILDWOOD PARK FOR THE ARTS INC,NA,20919 DENNY RD,LITTLE ROCK,AR,72223-9279,201307,3,Y,N,N,N,N,16,N,N,0,392425,150902,0,0,0,0,14559,0,0,0,591315,0,0,0,0,4039,0,207173,0,21702,0,761941,5692,0,0,11174,0,0,19045,4149676,0,0,0,0,10160,4195747,266656,0,36325,0,0,274382,0,577363,2812975,805409,0,3618384,4195747,0,2339585
181,251073139,416,"PITTSBURGH OPERA, INC.",PITTSBURGH OPERA INC,NA,2425 LIBERTY AVE,PITTSBURGH,PA,15222-4639,201406,3,Y,Y,Y,N,Y,246,Y,N,0,4668817,2010784,580437,0,0,448944,-61037,0,0,40386,7758575,0,118750,0,0,343959,0,3213385,131269,214774,34996,6894454,399748,417507,1060476,58479,0,0,128075,4934337,18034801,776940,0,0,0,25810363,143571,0,817768,0,0,0,0,961339,4994854,5298504,14555666,24849024,25810363,0,22289787
182,251073139,416,"PITTSBURGH OPERA, INC.",PITTSBURGH OPERA INC,NA,2425 LIBERTY AVE,PITTSBURGH,PA,15222-4639,201306,3,Y,Y,Y,N,Y,341,Y,N,0,3368713,1997244,584355,0,0,403020,73133,0,0,0,6499620,0,116100,0,0,330235,0,2932790,144669,265428,42437,6562230,39872,434162,1570383,21120,0,0,134436,4879665,15792691,722811,0,0,0,23595140,293977,0,1044124,0,0,0,0,1338101,4914781,4479579,12862679,22257039,23595140,0,22567650
183,251342994,390,OPERA THEATER OF PITTSBURGH,PITTSBURGH OPERA THEATER INC,NA,286 MAIN STREET 3RD FLOOR,PITTSBURGH,PA,15201-2808,201308,3,N,Y,Y,N,N,3,N,N,0,636689,210046,47,0,0,-633,0,0,0,0,846149,0,0,0,0,0,0,201608,0,0,0,837881,6061,0,117250,1257,0,0,90,3050,0,0,0,0,0,127708,112174,0,0,0,0,0,9571,191438,-220060,156330,0,-63730,127708,2302873,0
184,251342994,390,OPERA THEATER OF PITTSBURGH,PITTSBURGH OPERA THEATER INC,NA,286 MAIN STREET 3RD FLOOR,PITTSBURGH,PA,15201-2808,201312,3,Y,N,Y,N,N,3,N,N,0,127499,35539,1,0,0,0,0,0,0,0,163039,0,0,0,0,0,0,58685,0,0,0,176172,7351,0,23000,935,0,0,338,0,0,0,0,0,0,31624,33485,0,0,0,0,0,8458,108487,-233193,156330,0,-76863,31624,1881462,0
205,270813566,228,LYRIC OPERA FOUNDATION INC,LYRIC OPERA FOUNDATION INC,% VICTOR S RICHMOND,110 WEST MOUNT ROYAL AVENUE NO 101,BALTIMORE,MD,21201-5714,201306,3,Y,Y,N,N,N,0,N,N,0,620278,0,6,0,0,0,0,0,0,10940,631224,538667,0,0,0,0,0,0,0,0,0,600191,57386,0,18149,0,0,0,0,0,0,0,13074,0,410435,499044,0,0,0,0,0,0,139809,139809,346161,0,13074,359235,499044,1307387,0
209,271588801,560,OPERA HISPANICA INC,NA,NA,NA,NA,NA,NA,201012,3,N,N,N,N,N,0,N,N,0,1256,0,0,0,0,0,0,0,0,0,1256,0,0,0,0,0,0,0,0,0,0,1826,-90,0,0,0,0,0,0,0,0,0,0,77,0,-13,0,0,0,0,0,0,560,560,-573,0,0,-573,-13,0,0
210,271588801,560,OPERA HISPANICA INC,NA,NA,NA,NA,NA,NA,200912,3,N,N,N,N,N,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,97,0,97,0,0,0,0,0,0,100,100,-3,0,0,-3,97,0,0
211,271588801,560,OPERA HISPANICA INC,NA,NA,NA,NA,NA,NA,201112,3,N,N,N,N,N,0,N,N,0,5557,0,0,0,0,0,0,0,0,0,5557,0,0,0,0,0,0,0,0,0,0,6488,199,0,0,0,0,0,0,0,0,0,0,57,0,256,0,0,0,0,0,0,1760,1760,-1504,0,0,-1504,256,0,0
212,271588801,560,OPERA HISPANICA INC,NA,NA,NA,NA,NA,NA,201212,3,N,N,N,N,N,0,N,N,0,13464,0,0,0,0,0,0,0,0,0,13464,0,0,0,0,0,0,0,0,0,0,12070,2613,0,0,0,0,0,0,0,0,0,0,37,0,2650,0,0,0,0,0,0,2760,2760,-110,0,0,-110,2650,0,0
223,273552381,381,OPERA SAN ANTONIO,THE OPERA SAN ANTONIO,% BRUCE B JOHNSON,220 ALLEN ST,SAN ANTONIO,TX,78209-5111,201306,3,N,N,N,N,N,1,N,Y,0,567596,142204,0,0,0,0,0,0,0,0,709800,0,0,0,0,111511,0,1350,0,0,0,643544,110148,0,0,0,0,0,0,16239,0,0,0,0,48,126435,0,0,0,0,0,0,0,0,126435,0,0,126435,126435,742363,0
226,275035675,318,OPERA BRAVURA ENTERTAINMENT INC,OPERA BRAVURA ENTERTAINMENT INC,% YOSHITO J YAMAMOTO,2975 BOWERS AVE STE 119,SANTA CLARA,CA,95051-0955,201312,3,Y,N,N,N,N,0,N,N,0,21299,2620,0,0,0,0,0,0,0,0,23919,0,0,0,0,0,0,0,0,0,0,21790,2656,0,275,0,0,0,0,0,0,0,0,0,0,2931,0,0,0,0,0,0,0,0,2931,0,0,2931,2931,0,51470
227,275124838,293,NORTH SHORE OPERA HOUR INC,NORTH SHORE OPERA HOUR INC,% LUIS GALVEZ,8733 SAINT LOUIS AVE,SKOKIE,IL,60076-2317,201212,3,Y,N,N,N,N,0,N,N,0,931,0,0,0,0,0,0,0,0,0,931,0,0,0,0,0,0,0,0,0,0,2525,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
230,300540629,312,OPERA ARTS INC,OPERA ARTS INC,% KAREN HALL,PO BOX 5722,PALM SPRINGS,CA,92263-5722,201312,3,Y,N,N,N,N,0,N,N,0,87780,11250,0,0,0,0,0,0,0,0,99030,0,0,0,0,0,0,0,0,0,0,117069,16019,0,0,0,0,0,0,0,0,0,0,0,0,16019,0,0,0,0,0,0,0,0,16019,0,0,16019,16019,177670,0
231,310549044,73,CINCINNATI OPERA ASSOCIATION,CINCINNATI OPERA ASSOCIATION,NA,30 GARFIELD PL STE 800,CINCINNATI,OH,45202-4312,201308,3,Y,N,Y,N,Y,242,N,N,0,6933752,1621769,509500,0,0,1034172,-56556,0,0,18257,10060894,0,0,0,0,442350,0,3959799,18775,124771,0,6893301,0,431973,2217308,10304,0,0,214442,1970110,11752304,7725890,0,0,24913,24347244,288783,0,0,0,0,962930,0,1251713,6169400,4086480,12839651,23095531,24347244,23118450,0
232,310913307,473,"STUARTS OPERA HOUSE, INC.",STUARTS OPERA HOUSE INC,% TIM PEACOCK,PO BOX 217,NELSONVILLE,OH,45764-0217,201312,3,Y,N,N,N,N,5,N,N,0,337021,580100,1296,0,0,0,0,0,83915,5858,1113908,0,0,0,0,41500,0,105479,2571,16527,0,1098209,243264,908396,0,0,0,678,78900,689276,0,0,0,0,0,1920514,5649,0,707200,0,0,89923,0,802772,0,0,0,1117742,1920514,1528485,0
233,310942566,330,"OPERA DE LAFAYETTE, INC. D.B.A. TIPPECANOE ARTS FEDERATION INC",TIPPECANOE ARTS FEDERATION INC,NA,638 NORTH ST,LAFAYETTE,IN,47901-1153,201406,3,Y,N,Y,N,N,9,N,N,0,660071,27087,7405,0,0,0,77768,0,0,12785,785116,401727,0,0,0,0,0,167662,0,26572,0,747288,119271,392928,70867,63703,0,0,1564,494182,0,50990,0,0,0,1193505,95027,197009,7776,0,0,0,0,299812,836819,56874,0,893693,1193505,0,3222857
235,311020676,313,OPERA ASSOCIATION OF CENTRAL OHIO,OPERA ASSOCIATION OF CENTRAL OHIO,NA,55 E STATE ST,COLUMBUS,OH,43215-4203,201306,3,Y,Y,Y,N,N,3,N,N,0,614864,167460,419,0,0,0,-19598,0,0,4817,767962,0,10250,0,0,0,0,98785,0,8135,0,765768,202410,65474,179506,0,0,0,4387,350,26348,0,0,0,0,478475,81859,0,970,0,0,0,0,82829,81525,249405,64716,395646,478475,3144659,0
236,311021023,343,OPERA GUILD OF DAYTON,OPERA GUILD OF DAYTON,% HAMMERMAN GRAF HUGHES & CO,7210 TARRYTON RD,DAYTON,OH,45459-3451,201406,3,Y,N,N,N,N,0,N,N,0,5000,15781,40924,0,0,0,57544,0,0,0,119249,90001,0,0,0,0,0,0,0,0,0,111523,50772,0,0,0,0,0,0,0,251951,0,0,0,0,302723,0,0,0,0,0,0,0,0,302723,0,0,302723,302723,0,88999
238,311414324,32,BAUM OPERA HOUSE ASSOCIATION,BAUM OPERA HOUSE ASSOCIATION,% WILLIAM D FORBES,15 S 1ST ST,MIAMISBURG,OH,45342-2815,201312,3,Y,N,N,N,N,0,N,N,0,5170,0,101,0,0,0,0,0,0,0,14015,0,0,0,0,0,0,0,0,0,0,8947,8406,140255,0,0,0,0,0,309541,0,0,0,0,0,458202,0,0,0,0,0,0,0,0,0,0,0,458202,458202,0,80294
239,311486222,291,NORTH CAROLINA OPERA INC,NORTH CAROLINA OPERA INC,% ERIC MITCHKO,612 WADE AVE SUITE 100,RALEIGH,NC,27605-1237,201306,3,Y,Y,Y,N,N,3,N,N,0,470095,163518,0,0,0,0,115310,0,0,9902,758825,0,0,0,0,111426,0,22161,0,15419,0,732670,66587,0,58500,7339,0,0,7250,44377,0,0,0,0,0,184053,5644,0,32052,0,0,0,90499,128195,-62642,118500,0,55858,184053,2478229,0
243,330519746,443,SAN DIEGO OPERA ASSOCIATION ENDOWMENT TRUST,SAN DIEGO OPERA ASSOCIATION ENDOWMENT TRUST,NA,PO BOX 1501,PENNINGTON,NJ,08534-0671,201306,3,Y,N,N,N,N,0,N,N,0,0,0,97634,0,0,4321,0,0,0,0,101955,234299,0,0,0,18535,0,0,0,0,0,255075,0,129922,0,0,0,0,0,0,2447778,0,0,0,0,2577700,0,0,0,0,0,0,0,0,0,0,0,2577700,2577700,0,0
244,340714654,301,OHIO LIGHT OPERA D.B.A. COLLEGE OF WOOSTER,COLLEGE OF WOOSTER,NA,1189 BEALL AVE,WOOSTER,OH,44691-2393,201306,3,Y,Y,N,N,Y,2499,Y,N,0,18494960,104224267,1900188,0,1856,7575161,0,1610,0,0,132261659,28155,40700851,3881327,0,2171499,0,35664954,3138672,7990018,151141,131100871,12785,4835910,12685781,1557158,69104,766526,599393,144092581,139643291,148787573,2906849,0,6878578,462835529,9611409,0,1895372,28675305,0,152133,20499172,60833391,249682623,37321904,114997611,402002138,462835529,0,0
